"codigo_dane","mat","soc","fil","bio","qui","fis","ing","len","total.evaluados","nombre_col","lon","lat","tipo"
"111001000078",46,45,40.5,45,45,44,43,49,108,"INSTITUCION EDUCATIVA DISTRITAL DE CULTURA POPULAR",-74.1252973579999,4.60161792484898,"oficial"
"111001000124",46.5,48,41,47,48,47,45,48,174,"COLEGIO DISTRITAL CARLOS ARANGO VELEZ",-74.1352875069999,4.60750294584877,"oficial"
"111001000132",44,46,41,45,47,47,43,48,209,"COLEGIO AQUILEO PARRA INSTITUCION EDUCATIVA DISTRITAL",-74.0396101489999,4.76593730584361,"oficial"
"111001000272",46,46.5,41,47,46,47,45,48,140,"INSTITUTO TECNICO DISTRITAL LAUREANO GOMEZ",-74.1016778509999,4.71854196584518,"oficial"
"111001000388",43,43,40,44,41,44,42,47,116,"INSTITUCION EDUCATIVA DISTRITAL ESCUELA NACIONAL DE COMERCIO",-74.0702030709999,4.59327922984923,"oficial"
"111001000612",49,51,46,51,48,50,50,52,53,"COLEGIO FEMENINO LORENCITA VILLEGAS DE SANTOS INSTITUCION EDUCATIVA DISTRITAL",-74.0733819839999,4.68230016484634,"oficial"
"111001001121",44,45,41,46,45,47,43,48,111,"INSTITUCION EDUCATIVA DISTRITAL MARCO TULIO FERNANDEZ",-74.1015009479999,4.67389612284662,"oficial"
"111001001279",46,45,41,46,47,47,43,48.5,174,"COLEGIO DISTRITAL DARIO ECHANDIA",-74.1617637919999,4.64351636384758,"oficial"
"111001001538",44,43,38,44,45,41,43,47,169,"INSTITUCION EDUCATIVA DISTRITAL NUEVA CONSTITUCION",-74.1221395949999,4.71125739284536,"oficial"
"111001002330",44,46,40,45,45,46,43,48,219,"INSTITUCION EDUCATIVA DISTRITAL LA GAITANA",-74.1092987529999,4.74152074584439,"oficial"
"111001002909",43,44,40,44,43,44,43,47,295,"INSTITUCION EDUCATIVA DISTRITAL CARLOS ALBAN HOLGUIN",-74.1972385739999,4.6059560698488,"oficial"
"111001006122",47,48,41,47,47,46,47,50,466,"INSTITUCION EDUCATIVA DISTRITAL LA MERCED",-74.1014146799999,4.62164804284829,"oficial"
"111001006483",46,46,41,46,45,44,43,48,199,"COLEGIO DISTRITAL NOCTURNO ANTONIO NARIÑO",-74.1008876429999,4.68294456884633,"oficial"
"111001008389",46,45,41,46,45,47,43,48,117,"INSTITUTO TECNICO DISTRITAL DOMINGO FAUSTINO SARMIENTO",-74.0635614779999,4.68434188784626,"oficial"
"111001009148",47,47,43,47,46,47,46,50,127,"COLEGIO DISTRITAL HELADIA MEJIA HIJOS DE EDUCADORES",-74.0656555189999,4.65330069084729,"oficial"
"111001009521",47,47,42,47,47,50,46,50,181,"INSTITUCION EDUCATIVA DISTRITAL ROBERT F. KENNEDY",-74.1016807539999,4.67908478184645,"oficial"
"111001009580",49,47,41,46,47,47,43,50,177,"INSTITUTO TECNICO DISTRITAL JUAN DEL CORRAL",-74.0817064509999,4.68445245484624,"oficial"
"111001009652",43,46,40,45,45,44,43,48,353,"COLEGIO DISTRITAL JOSE MARIA CORDOBA",-74.1322435289999,4.57757315884973,"oficial"
"111001009831",43,45,41,46,45,44,43,50,148,"INSTITUCION EDUCATIVA DISTRITAL POLICARPA SALAVARRIETA",-74.0690215769999,4.60526542184883,"oficial"
"111001009971",49,47,42,47,45,47,43,50,255,"INSTITUCION EDUCATIVA DISTRITAL REPUBLICA DE COLOMBIA",-74.0910857849999,4.67860482884644,"oficial"
"111001010031",44,43,38,44,44,46,42,47,358,"INSTITUCION EDUCATIVA DISTRITAL CEDID SAN PABLO",-74.1874616139999,4.59978975884904,"oficial"
"111001010251",44,45,41,44,45,45,42,48,316,"COLEGIO DISTRITAL VENECIA",-74.1442691389999,4.59175635384925,"oficial"
"111001010421",46,45,41,45,46,47,43,48,204,"COLEGIO DISTRITAL JORGE ELIECER GAITAN",-74.0818255069999,4.66538826884688,"oficial"
"111001010731",46,46,42,45.5,46.5,47,45,50,212,"INSTITUCION EDUCATIVA DISTRITAL MANUELA BELTRAN",-74.0662511929999,4.64452345584755,"oficial"
"111001010740",52,49,44,49,50,50,46,52,308,"INSTITUTO TECNICO DISTRITAL FRANCISCO JOSE DE CALDAS",-74.0935277839999,4.67314521384661,"oficial"
"111001010839",44,44.5,41,44,45,47,42,48,124,"EXTERNADO NACIONAL CAMILO TORRES",-74.0663262439999,4.62016212984833,"oficial"
"111001010910",52,48,41.5,47,47,47,45,50,398,"COLEGIO NACIONAL NICOLAS ESGUERRA",-74.1218007449999,4.63238813084797,"oficial"
"111001010928",46,45,41,45,45,47,43,49,261,"INSTITUCION EDUCATIVA DISTRITAL  RESTREPO MILLAN",-74.1213977319999,4.57906426984969,"oficial"
"111001011011",46,49,43,46,46,50,45,50,233,"INSTITUTO TECNICO INDUSTRIAL PILOTO",-74.138612098,4.58462411184953,"oficial"
"111001011029",44,43,39,44,43,46,42,47,195,"INSTITUCION EDUCATIVA DISTRITAL REINO DE HOLANDA",-74.122163886,4.56831636285004,"oficial"
"111001011045",46,47,41,46,45,47,45,50,139,"INSTITUCION EDUCATIVA DISTRITAL SILVERIA ESPINOSA DE RENDON",-74.1128011009999,4.63031763384801,"oficial"
"111001011053",44,44,40,44,43,44,43,47,265,"COLEGIO DISTRITAL GUILLERMO LEON VALENCIA",-74.1021827869999,4.5884642058494,"oficial"
"111001011070",43,45,41,45,45,50,43,48,132,"INSTITUCION EDUCATIVA DISTRITAL MIGUEL ANTONIO CARO",-74.1050572369999,4.70862593984546,"oficial"
"111001011088",41,43,37,44,43,43,42,46,69,"COLEGIO DISTRITAL REPUBLICA DE PANAMA",-74.0764818389999,4.6766056608465,"oficial"
"111001011274",44,45,41,47,45,44,43,48,306,"INSTITUCION EDUCATIVA DISTRITAL  ANDRES BELLO",-74.1304952789999,4.59897858484903,"oficial"
"111001011321",43,44,39,44,43,43,43,45,175,"INSTITUCION EDUCATIVA DISTRITAL CARLOS ARTURO TORRES",-74.1463499679999,4.59990094384902,"oficial"
"111001011690",43,45,40,45,43,44.5,43,47,306,"COLEGIO DISTRITAL LA AMISTAD",-74.1628086859999,4.63299441384792,"oficial"
"111001011771",43,45,41,45,44,44,43,48,116,"COLEGIO DISTRITAL JOSE ASUNCION SILVA",-74.0982725569999,4.71299148684534,"oficial"
"111001011819",47,48,43,47.5,48,47,47,50,370,"INSTITUCION EDUCATIVA DISTRITAL LICEO FEMENINO MERCEDES NARIÑO",-74.1029490919999,4.57981348284967,"oficial"
"111001011908",49,49,45,47.5,48,48,45,52,172,"ESCUELA NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI",-74.0968861809999,4.58560733284945,"oficial"
"111001012033",43,46,39,44,43,44,43,46,90,"CENTRO EDUCATIVO DISTRITAL VEINTE DE JULIO",-74.0944461319999,4.57134284384995,"oficial"
"111001012271",46,46,38,46,45,46,43,48,244,"INSTITUCION EDUCATIVA DISTRITAL RAFAEL URIBE URIBE",-74.1290996579999,4.57906457284967,"oficial"
"111001012301",43,39,36.5,41,41,41,42.5,45,26,"COLEGIO SAN JOSE SUR ORIENTAL (IED)",-74.0841793899999,4.54651047885075,"oficial"
"111001012335",44,46,40,44,45,44,43,48,134,"CENTRO EDUCATIVO DISTRITAL JUANA ESCOBAR",-74.0875042029999,4.53577188485112,"oficial"
"111001012343",46,44,40,45,45,47,43,47,149,"CENTRO EDUCATIVO DISTRITAL TOM ADAMS",-74.1551872189999,4.61811551184844,"oficial"
"111001012360",43,44,38,44,43,43,42,48,278,"CENTRO EDUCATIVO DISTRITAL EL JAPON",-74.1537008029999,4.62182169584827,"oficial"
"111001012441",50,48,43,49,47,50,46,50,71,"INSTITUCION EDUCATIVA DISTRITAL MORISCO",-74.0902905569999,4.70542479584556,"oficial"
"111001012459",52,52,47,51,53,53,47,56,81,"INSTITUCION EDUCATIVA DISTRITAL SAN JOSE NORTE AGUAS CLARAS",-74.1023822679999,4.69588916984587,"oficial"
"111001012483",49,47,44,47,47,50,45,50,168,"CENTRO EDUCATIVO DISTRITAL INSTITUTO TECNICO TABORA",-74.0977785369999,4.69381878484597,"oficial"
"111001012530",46,47,41,46,46,44,43,49,183,"COLEGIO EL JAZMIN INSTITUCION EDUCATIVA DISTRITAL",-74.1149462949999,4.60964449184872,"oficial"
"111001012556",46,44,41,46,41,43.5,43,45,28,"CENTRO EDUCATIVO DISTRITAL ESPAÑA",-74.0894330919999,4.62283123284826,"oficial"
"111001012602",47,45,42,46,45,47,43,49,157,"COLEGIO DISTRITAL ATANASIO GIRARDOT",-74.1044974859999,4.59452081484919,"oficial"
"111001012611",43,47,41,47,45,45,44,48,128,"COLEGIO DISTRITAL BRAVO PAEZ",-74.1194069039999,4.57986869184965,"oficial"
"111001012815",44,45,41,46,43,47,43,48,95,"INSTITUCION EDUCATIVA DISTRITAL QUIROGA ALIANZA",-74.1206139149999,4.58153201184963,"oficial"
"111001012963",46,46,41,47,47,47,43,48,138,"COLEGIO DISTRITAL BENJAMIN HERRERA",-74.1273152169999,4.60213325184892,"oficial"
"111001012971",44,44,39,45,45,46,43,48,51,"INSTITUCION EDUCATIVA DISTRITAL RAFAEL DELGADO SALGUERO",-74.1204065669999,4.58504835884947,"oficial"
